Obs,PhoneType,Email,NumberofCampaigns,ProdActive,ProdBought,Socieconomic Status,Province,Right Address,Living Area (m^2),Estimated number of cars,Probability of Second Residence,Number of Mobile Phones,Number of Fixed Lines,ADSL,3G Devices,Type of House,House Price_imp,Income_imp,House Insurance_imp,Pension Plan_imp,Credit_imp,Savings_imp,tenureYrs,tenureYrs_z,tenureGrp,ageYrs,ageGrp,builtYrs,builtYrs_z,builtYrsGrp,livingArea_z,livingAreaGrp,HousePrice_imp_z,HousePrice_impGrp,HouseInsurance_imp_z,HouseInsurance_impGrp,Income_imp_z,Income_impGrp,PensionPlan_imp_z,PensionPlan_impGrp,Savings_imp_z,Savings_impGrp,Credit_imp_z,Credit_impGrp
17,MOBILE PHONE,0,2,0,0,Medium,TO,Right,269.07200000000006,One,Low,3.0,2.0,0.0,1.0,Urban,223127.053695,60916.31091,7763.099400000001,39060.684296,109822.67716199999,10232.356320000004,7,0.8450980400142568,up_10yrs,59.0,55-65yrs,21.0,1.3222192947339193,20-30yrs,5.598688590115806,200-300m2,5.348552230786471,100-250k,3.8900351469769077,7.5-10k,4.784733594599291,60-80k,4.591739847333137,25-50k,9.233407891158729,up_25k,5.040692026356715,100-250k
18,FIXED / LAND PHONE,0,2,0,0,Low,MA,Right,105.7796,two,Low,1.0,2.0,0.0,0.0,Urban,351692.01229499996,96222.22911,12302.4294,61589.19309600001,28161.894762,86075.19432000001,8,0.9030899869919435,20-25yrs,41.0,40-55yrs,42.0,1.6232492903979006,40-50yrs,4.67076689704517,100-200m2,5.546162504638811,250-500k,4.089990881425818,>10k,4.983275413665682,80-100k,4.789504514266416,50-100k,11.362988163451735,50-100k,4.449661871244159,25-50k
19,MOBILE PHONE,0,2,0,0,High,BA,Right,310.612,One,Low,1.0,0.0,1.0,0.0,Urban,283999.240395,77632.75611,9912.3534,49727.35229600001,22717.840962000002,126898.38432000006,8,0.9030899869919435,up_10yrs,38.0,up_40yrs,80.0,1.9030899869919435,>60yrs,5.741758824166492,300-400m2,5.45331717845302,250-500k,3.996176777320177,7.5-10k,4.890045004714454,60-80k,4.696595336090282,25-50k,11.751149801996462,100-250k,4.356367054906746,up_25k
20,MOBILE PHONE,0,2,0,0,Medium,MU,Right,234.232,None,Low,1.0,1.0,0.0,0.0,Urban,73842.448095,19920.45951,2492.1954,12901.418695999999,13398.253962,0.0,7,0.8450980400142568,up_10yrs,45.0,40-55yrs,60.0,1.7781512503836436,50-60yrs,5.460572261191677,200-300m2,4.868306086399836,up_100k,3.3965820900797956,up_2.5k,4.299299352177824,up_25k,4.110637469831558,up_25k,0.0,up_25k,4.127048205523293,up_25k
21,FIXED / LAND PHONE,0,26,0,3,Very High,BA,Right,112.76100000000001,None,Low,2.0,2.0,0.0,0.0,Rustic,140799.020895,38307.76551000001,4856.2794,24634.244296,11201.227962,0.0,49,1.6901960800285136,20-25yrs,38.0,up_40yrs,73.0,1.863322860120456,>60yrs,4.7340997564523,100-200m2,5.148599634767903,100-250k,3.6863036653792998,2.5-5k,4.583286820346983,25-40k,4.391539243976012,up_25k,0.0,up_25k,4.049265635874424,up_25k
22,FIXED / LAND PHONE,1,14,0,3,Very High,TA,Right,309.27200000000005,One,Low,3.0,2.0,0.0,1.0,Urban,211664.505195,57768.51591,7358.3694,37052.077895999995,16900.457562,52285.85532,15,1.1760912590556813,15-20yrs,40.0,up_40yrs,16.0,1.2041199826559248,10-20yrs,5.737449332126685,300-400m2,5.325648035674625,100-250k,3.86678158620708,5-7.5k,4.761691210532988,40-60k,4.568812568414194,25-50k,10.86450028615018,50-100k,4.227898462836258,up_25k
23,MOBILE PHONE,0,6,0,0,Very High,CA,Right,75.04,None,Low,2.0,2.0,0.0,1.0,Urban,118568.40079500001,33689.172510000004,6240.5694,57876.85709600001,11644.888962,0.0,10,1.0,20-25yrs,69.0,65-75yrs,29.0,1.462397997898956,20-30yrs,4.331259517620229,up_100m2,5.073968962309176,100-250k,3.7952242172459174,5-7.5k,4.527490343757779,25-40k,4.762504939466278,50-100k,0.0,up_25k,4.066135351743985,up_25k
24,FIXED / LAND PHONE,0,2,0,0,Medium,LE,Right,187.7608,None,Low,3.0,0.0,1.0,1.0,Rustic,155384.07709500002,42313.05351000001,5371.2414,27189.999496000004,25905.804162,0.0,8,0.9030899869919435,up_10yrs,66.0,65-75yrs,30.0,1.4771212547196624,20-30yrs,5.240480605035262,100-200m2,5.1914065126368225,100-250k,3.7300746713350996,5-7.5k,4.6264743672053825,40-60k,4.43440919953732,25-50k,0.0,up_25k,4.413397078101562,25-50k
25,FIXED / LAND PHONE,0,2,0,0,Low,MA,Wrong,139.5342,None,Low,3.0,2.0,0.0,1.0,Urban,152314.50019499994,42966.82971000001,5533.4214,33817.800296,19696.887162,0.0,7,0.8450980400142568,10-15yrs,46.0,40-55yrs,12.0,1.0791812460476249,10-20yrs,4.945450875522949,100-200m2,5.182741249724187,100-250k,3.742993745349853,5-7.5k,4.633133310624872,40-60k,4.529145355172483,25-50k,0.0,up_25k,4.294397596964382,up_25k
26,MOBILE PHONE,0,2,0,0,Very High,JA,Right,94.20200000000001,None,Low,3.0,2.0,0.0,0.0,Urban,124081.28869500001,17105.78331,4266.0234,21704.789896,9856.739562,0.0,7,0.8450980400142568,up_10yrs,44.0,40-55yrs,52.0,1.7160033436347992,50-60yrs,4.556000949980008,up_100m2,5.093706295365035,100-250k,3.6300232333128952,2.5-5k,4.233142966239384,up_25k,4.33655558619179,up_25k,0.0,up_25k,3.9937332816350612,up_25k
27,FIXED / LAND PHONE,0,4,0,0,Low,BA,Right,716.6320000000003,None,Low,3.0,2.0,1.0,0.0,Urban,123959.57359500001,33683.40171000001,4261.7214,21683.457096000006,9846.948762,0.0,10,1.0,up_10yrs,72.0,65-75yrs,21.0,1.3222192947339193,20-30yrs,6.575956902838416,700-800m2,5.093280073652619,100-250k,3.629585055327166,2.5-5k,4.527415944742117,25-40k,4.336128525007603,up_25k,0.0,up_25k,3.9933016781003867,up_25k
28,FIXED / LAND PHONE,0,2,0,0,Low,LU,Right,416.472,two,Low,1.0,0.0,0.0,1.0,Urban,331362.01039500005,90639.29511,11584.6254,58026.776296,26526.904962,50126.63832000001,7,0.8450980400142568,up_10yrs,68.0,65-75yrs,67.0,1.8260748027008264,>60yrs,6.034217476173631,400-500m2,5.520302716450411,250-500k,4.06388199502343,>10k,4.957316519416818,80-100k,4.76362844380686,50-100k,10.822327798036675,50-100k,4.42368658144344,25-50k
29,FIXED / LAND PHONE,0,6,0,1,Low,A ,Wrong,218.487,None,Low,1.0,2.0,0.0,1.0,Urban,191529.893295,43603.469910000014,4572.9414000000015,29443.129096000004,11266.737762,0.0,9,0.9542425094393249,10-15yrs,45.0,40-55yrs,120.0,2.0791812460476247,>60yrs,5.391293005248798,200-300m2,5.282236566711332,100-250k,3.660195636145672,2.5-5k,4.6395210512594804,40-60k,4.468983963169259,25-50k,0.0,up_25k,4.051798186050318,up_25k
30,FIXED / LAND PHONE,0,2,0,0,Low,HU,Right,147.132,None,Low,2.0,0.0,0.0,1.0,Urban,70399.559295,18974.99331,2370.6414,30157.027496,5539.488762000001,0.0,8,0.9030899869919435,>25yrs,76.0,>75yrs,53.0,1.724275869600789,50-60yrs,4.998103768156767,100-200m2,4.847569940443977,up_100k,3.374865864488676,up_2.5k,4.278181631448646,up_25k,4.479388531968789,25-50k,0.0,up_25k,3.7434696856512693,up_25k
31,MOBILE PHONE,1,6,0,1,High,BA,Right,217.3212,One,Low,1.0,0.0,1.0,0.0,Urban,297525.364695,81347.23611000001,10389.9294,52097.54429600001,27192.482562,0.0,8,0.9030899869919435,10-15yrs,37.0,up_40yrs,14.0,1.146128035678238,10-20yrs,5.385967372903848,200-300m2,5.473523996207432,250-500k,4.016612596518237,>10k,4.9103428017404,80-100k,4.716817252592584,50-100k,0.0,up_25k,4.434448858700415,25-50k
32,MOBILE PHONE,0,18,0,2,Very High,MA,Right,80.53399999999998,None,Low,2.0,1.0,1.0,1.0,Rustic,174350.22169500001,28240.806510000002,3561.9534000000012,18210.605896000005,8253.065562,0.0,15,1.1760912590556813,>25yrs,62.0,55-65yrs,55.0,1.7403626894942439,50-60yrs,4.401020111166416,up_100m2,5.241422503939434,100-250k,3.55168823341604,2.5-5k,4.450877095277822,25-40k,4.260324395707707,up_25k,0.0,up_25k,3.9166152951398474,up_25k
33,MOBILE PHONE,0,2,0,0,Medium,BA,Right,123.4274,two,Low,3.0,2.0,1.0,0.0,Urban,557692.976295,152793.26810999998,2995.1154,97686.917096,44729.133762,136989.14832,8,0.9030899869919435,up_10yrs,55.0,40-55yrs,47.0,1.6720978579357175,40-50yrs,4.823722413286743,100-200m2,5.746395174928118,500-750k,3.47641356015361,2.5-5k,5.184104220161893,>100k,4.989836403908409,50-100k,11.827664292151615,100-250k,4.6505904875751565,25-50k
34,MOBILE PHONE,0,4,0,0,Medium,TO,Right,111.3004,None,Low,3.0,1.0,1.0,1.0,Urban,101653.897995,27557.911710000004,3474.1494,17774.837896,8053.067561999997,0.0,10,1.0,up_10yrs,37.0,up_40yrs,52.0,1.7160033436347992,50-60yrs,4.721177423625854,100-200m2,5.007124036641162,100-250k,3.540848490622442,2.5-5k,4.440246304411726,25-40k,4.2498056487158005,up_25k,0.0,up_25k,3.905961342663854,up_25k
35,FIXED / LAND PHONE,1,20,0,3,Very High,BA,Right,75.85740000000001,None,Low,0.0,0.0,1.0,0.0,Urban,50933.333295,41324.48271,5244.1434,26559.234696000003,12084.712361999998,0.0,15,1.1760912590556813,up_10yrs,57.0,55-65yrs,45.0,1.6532125137753437,40-50yrs,4.3419517568257815,up_100m2,4.707002099193151,up_100k,3.7196745588718243,5-7.5k,4.616207425882962,40-60k,4.424215556686465,25-50k,0.0,up_25k,4.082236317872934,up_25k
36,FIXED / LAND PHONE,0,26,0,3,Medium,BA,Right,76.7418,One,Low,2.0,0.0,1.0,1.0,Urban,57903.479595000004,60710.08671,7736.5854,38929.096295999996,17761.924961999994,54114.26832000001,18,1.255272505103306,up_10yrs,56.0,55-65yrs,44.0,1.6434526764861874,40-50yrs,4.353393079259447,up_100m2,4.76270466257893,up_100k,3.888549323842641,7.5-10k,4.783260853160342,60-80k,4.590274322078915,25-50k,10.898871649046438,50-100k,4.24949003098491,up_25k
37,MOBILE PHONE,0,2,0,0,Medium,GI,Right,348.13200000000006,two,Medium,0.0,0.0,1.0,0.0,Rustic,747869.257395,205018.59231,26290.5354,131011.645096,60023.691762,215960.55732,7,0.8450980400142568,up_10yrs,61.0,55-65yrs,119.0,2.0755469613925306,>60yrs,5.855450074189653,300-400m2,5.8738256810799365,500-750k,4.419799430491984,>10k,5.311793247258214,>100k,5.117309900053943,100-250k,12.282855695456435,100-250k,4.778322703227424,50-100k
38,MOBILE PHONE,0,2,0,0,Medium,BA,Right,80.73500000000001,One,Low,3.0,1.0,0.0,0.0,Rustic,256711.131495,58130.86671,7404.971400000001,37283.308295999996,17006.581962,51792.97032000001,8,0.9030899869919435,up_10yrs,39.0,up_40yrs,120.0,2.0791812460476247,>60yrs,4.403482306703172,up_100m2,5.409444700934937,250-500k,3.869523385497853,5-7.5k,4.764406798176831,40-60k,4.571514442065797,25-50k,10.855029018383407,50-100k,4.230617036469381,up_25k
39,MOBILE PHONE,0,26,0,3,Very High,BA,Right,86.30940000000002,two,Low,3.0,2.0,0.0,0.0,Urban,455629.828095,53049.55131,15972.2334,79802.312296,36520.900962,111763.83132,9,0.9542425094393249,up_10yrs,75.0,65-75yrs,63.0,1.7993405494535817,>60yrs,4.469458131734048,up_100m2,5.658612147700803,250-500k,4.203365647852845,>10k,4.724681715015585,40-60k,4.902015475346274,50-100k,11.624152222416665,100-250k,4.562541482936701,25-50k
40,FIXED / LAND PHONE,0,2,0,0,Medium,LA,Right,329.37200000000007,None,Low,2.0,1.0,1.0,0.0,Urban,161195.899995,43909.07031,5576.441400000002,28208.399496000005,12841.605162,51737.56632000001,8,0.9030899869919435,up_10yrs,76.0,>75yrs,44.0,1.6434526764861874,40-50yrs,5.8002192922929865,300-400m2,5.207353991363663,100-250k,3.7463571427795617,5-7.5k,4.64255424185248,40-60k,4.450378445610371,25-50k,10.8539587460403,50-100k,4.108619312629161,up_25k
41,MOBILE PHONE,0,6,0,0,High,MA,Right,41.7142,One,Low,1.0,1.0,1.0,0.0,Rustic,244591.393995,66810.75471000001,8520.953400000002,42821.903496000006,19548.549162,20139.277319999997,12,1.0791812460476249,up_10yrs,49.0,40-55yrs,23.0,1.3617278360175928,20-30yrs,3.7545314176443965,up_100m2,5.3884411722168855,100-250k,3.930488190212009,7.5-10k,4.82484637767403,60-80k,4.631665968409969,25-50k,9.910476935790465,up_25k,4.291114530820441,up_25k
42,FIXED / LAND PHONE,0,2,0,0,Low,OU,Right,110.6706,One,Low,0.0,1.0,1.0,1.0,Urban,219712.256595,59978.55591,7642.5174,38462.293895999996,17547.683562000002,53455.90032000001,8,0.9030899869919435,up_10yrs,59.0,55-65yrs,37.0,1.568201724066995,30-40yrs,4.715553466417207,100-200m2,5.341854284608732,100-250k,3.8832364361734464,7.5-10k,4.777996005140276,40-60k,4.585035182051882,25-50k,10.886631006717504,50-100k,4.244219794155726,up_25k
43,FIXED / LAND PHONE,0,2,0,0,Very High,CA,Right,187.332,One,Low,0.0,2.0,1.0,0.0,Urban,225071.593695,61450.31151,7831.7514,39401.41949600002,24527.835162,30537.679320000014,7,0.8450980400142568,up_10yrs,46.0,40-55yrs,26.0,1.414973347970818,20-30yrs,5.238206362807253,100-200m2,5.3523206861156325,100-250k,3.8938588933862794,7.5-10k,4.788524088796617,60-80k,4.5955118682259535,25-50k,10.326749333567754,25-50k,4.3896592188673464,up_25k
44,FIXED / LAND PHONE,0,2,0,0,Medium,GR,Right,17.9694,None,Low,0.0,0.0,0.0,1.0,Urban,153432.28309499993,41777.06211,5302.3373999999985,26847.977896000004,12217.232562,0.0,7,0.8450980400142568,up_10yrs,44.0,40-55yrs,19.0,1.2787536009528289,10-20yrs,2.9428271545590015,up_100m2,5.185916747454733,100-250k,3.724467359439331,5-7.5k,4.620937895809984,40-60k,4.428911581593139,25-50k,0.0,up_25k,4.086972840999257,up_25k
45,MOBILE PHONE,0,2,0,0,High,GR,Right,64.05199999999999,None,Low,0.0,1.0,1.0,0.0,Rustic,89856.401895,24318.13671,3057.6114,15707.539496000001,7104.2701620000025,0.0,7,0.8450980400142568,up_10yrs,55.0,40-55yrs,13.0,1.1139433523068367,10-20yrs,4.175186950066201,up_100m2,4.953549024223259,up_100k,3.4853822889377377,2.5-5k,4.38593029561854,up_25k,4.196108160406013,up_25k,0.0,up_25k,3.8515194684849132,up_25k
46,MOBILE PHONE,0,2,0,0,Low,BA,Right,67.16080000000001,None,Low,2.0,2.0,1.0,0.0,Urban,156242.30719499994,45057.47211,5724.0954,28941.218696000004,13177.936362,19120.43232,8,0.9030899869919435,up_10yrs,75.0,65-75yrs,25.0,1.3979400086720377,20-30yrs,4.221869619541383,up_100m2,5.193798643456058,100-250k,3.757706863268786,5-7.5k,4.653766822552615,40-60k,4.461516815027804,25-50k,9.85856509593351,up_25k,4.11984740595101,up_25k
47,FIXED / LAND PHONE,0,2,0,0,Medium,SE,Right,144.7066,None,Low,1.0,1.0,1.0,0.0,Urban,178525.40179499995,51742.03670999999,9655.9614,40909.026696,11584.520562000005,32273.45532,8,0.9030899869919435,10-15yrs,58.0,55-65yrs,38.0,1.5797835966168101,30-40yrs,4.981595010733892,100-200m2,5.251700019185008,100-250k,3.9847955209873347,7.5-10k,4.713843519751711,40-60k,4.611819146924803,25-50k,10.382031339352453,25-50k,4.063878064747798,up_25k
48,FIXED / LAND PHONE,0,2,0,0,Low,BA,Right,67.06700000000001,One,Low,2.0,2.0,0.0,0.0,Rustic,124575.87109500001,54082.38591000001,6884.4474,34699.949096000004,15820.935762,48149.34732,7,0.8450980400142568,up_10yrs,57.0,55-65yrs,53.0,1.724275869600789,50-60yrs,4.220492514210112,up_100m2,5.095433932651676,100-250k,3.837869086094434,5-7.5k,4.733055842783629,40-60k,4.540328837691666,25-50k,10.782083630492053,25-50k,4.19923216716761,up_25k
49,MOBILE PHONE,0,2,0,0,Very High,SA,Right,88.84200000000001,None,Low,3.0,2.0,1.0,0.0,Rustic,127407.92629500001,17870.67891,4383.4734,22287.74349600001,10124.289162,0.0,8,0.9030899869919435,10-15yrs,37.0,up_40yrs,40.0,1.6020599913279623,30-40yrs,4.498052571981151,up_100m2,5.105196447144549,100-250k,3.6418183754920967,2.5-5k,4.252141051737094,up_25k,4.348066100923355,up_25k,0.0,up_25k,4.00536454064145,up_25k
50,MOBILE PHONE,0,2,0,0,Low,JA,Right,145.6312,None,Low,2.0,2.0,0.0,1.0,Urban,114818.188095,31173.02811000001,3938.963400000001,29449.829096000005,9111.777761999998,0.0,8,0.9030899869919435,up_10yrs,40.0,up_40yrs,31.0,1.4913616938342726,30-40yrs,4.987920590819648,100-200m2,5.06001068913888,100-250k,3.5953819454570515,2.5-5k,4.493778991163216,25-40k,4.469082778821609,25-50k,0.0,up_25k,3.959603118674853,up_25k
51,MOBILE PHONE,0,2,0,0,High,MA,Right,29.48,One,Low,3.0,1.0,0.0,1.0,Rustic,238110.459795,65030.99211,8292.1194,41686.22669600001,19027.324362,0.0,8,0.9030899869919435,20-25yrs,36.0,up_40yrs,14.0,1.146128035678238,10-20yrs,3.4170707308184456,up_100m2,5.376778473655505,100-250k,3.9186655469659386,7.5-10k,4.813120379636251,60-80k,4.619992585956962,25-50k,0.0,up_25k,4.279377721733322,up_25k
52,MOBILE PHONE,0,6,0,1,Very High,AL,Right,487.49200000000013,two,Low,3.0,0.0,1.0,0.0,Rustic,495469.825695,135705.82851,17378.8794,86783.497896,39724.95256200001,59093.95932000001,8,0.9030899869919435,20-25yrs,52.0,40-55yrs,30.0,1.4771212547196624,20-30yrs,6.191323094685484,400-500m2,5.695017210923848,250-500k,4.240021769460951,>10k,5.132598500831226,>100k,4.9384371508210325,50-100k,10.986900909062992,50-100k,4.599063387262075,25-50k
53,FIXED / LAND PHONE,0,2,0,0,Medium,VA,Wrong,35.48320000000001,None,Low,3.0,2.0,1.0,1.0,Urban,131072.95129499998,15216.72831,16168.325400000002,27552.871496000003,12752.110362000001,47760.06132,7,0.8450980400142568,10-15yrs,69.0,65-75yrs,33.0,1.5185139398778875,30-40yrs,3.596851880657264,up_100m2,5.117513078300848,100-250k,4.208665041106105,>10k,4.182321286491638,up_25k,4.4401668667043825,25-50k,10.773965969762628,25-50k,4.1055820626311,up_25k
54,MOBILE PHONE,0,2,0,0,Medium,HU,Right,68.8224,None,Low,0.0,0.0,0.0,0.0,Urban,106229.861595,25969.31631,3269.9034,16761.154696,7587.832362,0.0,7,0.8450980400142568,>25yrs,46.0,40-55yrs,53.0,1.724275869600789,50-60yrs,4.245954875190955,up_100m2,5.026246615643575,100-250k,3.5145349228539757,2.5-5k,4.4144605161790595,25-40k,4.224303934391332,up_25k,0.0,up_25k,3.8801177274535013,up_25k
